stock: smu, price: 100, userId: john, date: Tue Oct 22 2013 21:14:37 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, price: 100, userId: john, date: Tue Oct 22 2013 21:17:54 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, price: 100, userId: john, date: Tue Oct 22 2013 21:18:27 GMT+0800 (Malay Peninsula Standard Time)
stock: ntu, price: 100, userId: john, date: Tue Oct 22 2013 21:20:06 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:55 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:55 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:55 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:55 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:55 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:56 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:56 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:56 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
stock: smu, price: 10, userId: john, date: Sat Oct 26 2013 15:49:57 GMT+0800 (SGT)
