stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 15:34:47 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 100, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 15:43:38 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 16:03:29 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 16:26:33 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 16:27:30 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 100, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 17:00:44 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 17:06:07 GMT+0800 (Malay Peninsula Standard Time)
stock: nus, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 21:04:23 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 100, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 21:12:59 GMT+0800 (Malay Peninsula Standard Time)
stock: ntu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 21:14:21 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 21:40:46 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 22:18:39 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: john, date: Tue Oct 22 2013 22:22:27 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: john, date: Wed Oct 23 2013 10:57:41 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: john, date: Wed Oct 23 2013 11:02:44 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: weitian, date: Wed Oct 23 2013 11:10:59 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: weitian, date: Wed Oct 23 2013 11:13:40 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: weitian, date: Wed Oct 23 2013 11:15:45 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: weitian, date: Wed Oct 23 2013 11:16:44 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: weitian, date: Wed Oct 23 2013 11:16:52 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: weitian, date: Wed Oct 23 2013 11:22:47 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: john, seller userId: weitian, date: Wed Oct 23 2013 11:24:58 GMT+0800 (Malay Peninsula Standard Time)
stock: smu, amt: 10, bidder userId: weitian, seller userId: weitian, date: Sat Oct 26 2013 14:31:26 GMT+0800 (Malay Peninsula Standard Time)
